,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
count,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0
mean,7.074754331355009,195.80074426259276,22383.99101780775,7.169338026214626,332.8441220087081,425.38379997895566,14.160892521171197,66.53351277539106,3.968328289141415,1.0
std,1.3439546131222908,35.54704078415084,9101.010208254906,1.7029876826324724,41.86847074087017,82.04844619323838,3.2639067661275787,15.971967599417384,0.7808417703382445,0.0
min,0.2274990502021987,47.432,728.7508295768456,0.3520000000000003,129.00000000000003,201.6197367551575,2.1999999999999886,8.175876384274268,1.4922066153042484,1.0
25%,6.35182412295743,174.33053144229612,15668.985034874642,6.094133563248015,313.05294686141184,360.9390225594526,12.033897118881185,56.911185760228015,3.430909338727502,1.0
50%,7.080794504276835,196.6329070886398,21199.38661404485,7.215163009948823,333.7757766108135,420.71272912166967,14.162808700391992,66.39629294676803,3.958576217567654,1.0
75%,7.780067851048828,218.00342038709096,27973.236446407398,8.199261442679553,354.8079240963481,484.15591109520597,16.356245435100547,77.06745675794437,4.509568597447933,1.0
max,13.175401724233025,323.124,56488.67241273919,13.127000000000002,481.0306423059972,695.3695279880473,23.60429797466412,124.0,6.494249467472996,1.0
